date,time,symbol,side,qty,price,order_type,stop_loss,take_profit,score,reason,order_id
2026-03-12,14:49:36,ATI,buy,23,145.49,bracket,133.14,170.19,1.6203,new_signal,35c3e40c-2bcd-44d6-8b93-e6474b62f9ac
2026-03-12,14:49:36,JNJ,buy,44,242.28,bracket,234.35,258.15,0.5102,new_signal,11089ee1-6f13-4e57-814e-ec31f8b5f4be
2026-03-12,14:49:36,SEE,buy,339,41.94,bracket,41.75,42.31,0.513,new_signal,cf503998-d750-4f99-a17b-b41aac5eaca9
2026-03-12,14:49:36,CFLT,buy,463,30.7,bracket,30.5,31.08,0.7064,new_signal,c726bea5-7724-445c-bd85-344f60c0c31d
2026-03-12,14:49:36,HWM,buy,22,244.21,bracket,229.57,273.49,0.8217,new_signal,df64163f-23e0-40a5-83c6-91e14d612bb4
2026-03-12,14:49:36,VLO,buy,19,235.65,bracket,220.36,266.23,0.6045,new_signal,61545db3-fef5-4d8d-b7c3-3cab69399e4b
2026-03-12,14:49:36,WAB,buy,31,242.05,bracket,230.46,265.22,0.594,new_signal,22052871-5114-4e77-973b-d55cffad8f34
2026-03-12,14:49:36,TRGP,buy,31,238.19,bracket,226.55,261.47,0.572,new_signal,52366222-71ba-4819-aab2-849da974f654
2026-03-12,14:49:36,GLW,buy,22,127.9,bracket,110.87,161.97,0.719,new_signal,53f5c1d6-b6ed-4ce4-b6b8-c940f3f54823
2026-03-12,14:49:36,LMT,buy,10,659.91,bracket,625.15,729.43,0.4978,new_signal,92cc4298-84c8-4c76-a7cd-ae2be262f9d6
2026-03-12,14:49:36,GE,buy,16,305.63,bracket,283.65,349.58,0.5011,new_signal,28af70ac-206a-470a-8ef3-cf63d566d43e
2026-03-12,14:49:36,HCA,buy,10,548.78,bracket,521.4,603.55,0.5734,new_signal,a6a8fdbd-6917-4d81-aafb-c81e1b9ac231
2026-03-12,14:49:36,XPO,buy,17,187.4,bracket,169.19,223.82,0.5612,new_signal,1a9e3911-4c6f-49a3-98d7-b5d4136647b2
2026-03-12,14:49:36,FRO,buy,98,31.09,bracket,27.99,37.3,1.1708,new_signal,4123d087-171c-424c-809e-6c59678beaaa
2026-03-12,14:49:36,WWD,buy,14,368.62,bracket,344.31,417.24,0.7503,new_signal,b1e8e466-c30b-4d23-acb0-c785851070d4
2026-03-13,14:41:51,EXAS,buy,119,103.54,bracket,102.93,104.78,0.5039,new_signal,f7172a1b-7db7-4089-9726-7a9bf366b704
2026-03-13,14:41:51,OMC,buy,36,79.44,bracket,73.69,90.93,0.3789,new_signal,111bd234-8df3-4048-be33-bf8f80fc4050
2026-03-13,14:41:51,THC,buy,26,221.85,bracket,206.66,252.24,0.236,new_signal,2f0c130e-53ab-4454-aadb-458290fd31f0
2026-03-13,14:41:51,ACGL,buy,123,94.13,bracket,90.39,101.61,0.1382,new_signal,cd089b84-af59-4ff9-862d-46f947295eee
2026-03-13,14:41:51,VICR,buy,14,170.07,bracket,143.15,223.92,0.6208,new_signal,6efac4ed-9613-4866-b7a7-ab117444e40a
2026-03-13,14:41:51,NYT,buy,85,78.81,bracket,75.21,86.01,0.3185,new_signal,6bf20183-e419-432c-a6fa-554d4b0a60a5
2026-03-13,14:41:51,DVA,buy,37,146.42,bracket,136.57,166.11,0.1717,new_signal,1a32dc2d-671f-4c35-9f10-f8258410c6b8
2026-03-13,14:41:51,BWXT,buy,21,193.62,bracket,178.09,224.69,0.4978,new_signal,af6c4ec1-3522-40c9-beb1-40f414ba566b
2026-03-13,14:41:51,KMI,buy,371,33.38,bracket,32.19,35.76,0.1332,new_signal,8513f2c5-1cb9-4723-9eeb-73b158dde93f
2026-03-13,14:41:51,AXTI,buy,48,51.26,bracket,40.51,72.77,3.3294,new_signal,27989c61-562b-4f20-9197-069cb2b4b583
2026-03-13,14:41:51,TJX,buy,63,155.58,bracket,149.34,168.07,0.2132,new_signal,8da95756-86e2-4274-bda8-46a9d33385f4
2026-03-13,14:41:51,TPL,buy,6,533.43,bracket,490.82,618.65,0.5372,new_signal,73b2b5c4-e120-45c2-b364-65c48dff21f4
2026-03-13,14:41:51,AEM,buy,15,212.25,bracket,192.35,252.05,0.1489,new_signal,1c9e0806-9f4c-448b-ba50-206ba8daa306
2026-03-13,14:41:51,CWAN,buy,534,23.24,bracket,22.79,24.12,0.1399,new_signal,ce3823a1-bee9-4e53-88f2-d79d426c7f1e
